"trip","rain","captures","capturesSy","year","sinceEvent","monthsSince","yearsSince"
2000-01-01,39.6642857142857,NA,NA,2000,"period 0",0,0
2000-02-01,55.1071428571429,NA,NA,2000,"period 0",1,0.0833333333333333
2000-03-01,48.6214285714286,NA,NA,2000,"period 0",2,0.166666666666667
2000-04-01,83.7928571428571,1.35416666675,2.3148148151,2000,"period 0",3,0.25
2000-05-01,0.792857142857143,NA,NA,2000,"period 0",4,0.333333333333333
2000-06-01,0,3.17460317490476,1.98412698428571,2000,"period 0",5,0.416666666666667
2000-07-01,0,NA,NA,2000,"period 0",6,0.5
2000-08-01,0.0214285714285714,3.05787037045,0.58564814815,2000,"period 0",7,0.583333333333333
2000-09-01,0,NA,NA,2000,"period 0",8,0.666666666666667
2000-10-01,57.125,2.1990740742,0.67129629635,2000,"period 0",9,0.75
2000-11-01,80.2071428571429,12.9629629636667,1.23456790133333,2000,"period 0",10,0.833333333333333
2000-12-01,139.392857142857,2.72633744855556,0.617283950666667,2000,"period 0",11,0.916666666666667
2001-01-01,25.6285714285714,NA,NA,2001,"period 0",12,1
2001-02-01,41.1571428571429,NA,NA,2001,"period 0",13,1.08333333333333
2001-03-01,12.65,11.3834422659412,0.435729847529412,2001,"period 0",14,1.16666666666667
2001-04-01,0.289285714285714,NA,NA,2001,"period 0",15,1.25
2001-05-01,0,NA,NA,2001,"period 0",16,1.33333333333333
2001-06-01,0.935714285714286,10.7473544967143,0.628306878357143,2001,"period 0",17,1.41666666666667
2001-07-01,9.13571428571429,NA,NA,2001,"period 0",18,1.5
2001-08-01,0,NA,NA,2001,"period 0",19,1.58333333333333
2001-09-01,3.58571428571429,4.88215488236364,0.526094276136364,2001,"period 0",20,1.66666666666667
2001-10-01,27.125,NA,NA,2001,"period 0",21,1.75
2001-11-01,27.0642857142857,NA,NA,2001,"period 0",22,1.83333333333333
2001-12-01,27.8107142857143,3.64057239081818,0.273569023590909,2001,"period 0",23,1.91666666666667
2002-01-01,28.9785714285714,NA,NA,2002,"period 0",24,2
2002-02-01,26.2214285714286,1.33744855977778,0.205761316888889,2002,"period 0",25,2.08333333333333
2002-03-01,2.26785714285714,NA,NA,2002,"period 0",26,2.16666666666667
2002-04-01,0,2.46913580266667,0,2002,"period 0",27,2.25
2002-05-01,0.135714285714286,1.6203703705,0.34722222225,2002,"period 0",28,2.33333333333333
2002-06-01,0,NA,NA,2002,"period 0",29,2.41666666666667
2002-07-01,0,0.257201646111111,0.205761316888889,2002,"period 0",30,2.5
2002-08-01,0,0.505050505090909,0.168350168363636,2002,"period 0",31,2.58333333333333
2002-09-01,1.95,NA,NA,2002,"period 0",32,2.66666666666667
2002-10-01,0,0.257201646111111,0.205761316888889,2002,"period 0",33,2.75
