"gridId","site","lat","lon","coor","siteName"
"CP1","CP",-23.25,138.29,"grid","Cravens Peak"
"CP2","CP",-23.25,138.28,"grid","Cravens Peak"
"CS2","CS",-23.47275,138.5332,"grid","Carlo"
"CS2G","CS",-23.47484,138.53612,"grid","Carlo"
"CS5","CS",-23.4886667,138.50835,"grid","Carlo"
"CSMT","CS",-23.49288334,138.535204,"site mean","Carlo"
"CSMTB","CS",-23.49288334,138.535204,"site mean","Carlo"
"CSMTG","CS",-23.49288334,138.535204,"site mean","Carlo"
"FRN1","FRN",-23.75182,138.01521,"grid","Field River North"
"FRN2","FRN",-23.74715,138.01291,"grid","Field River North"
"FRS2","FRS",-23.8132333,138.0604167,"grid","Field River South"
"FRS3","FRS",-23.83447,138.07354,"grid","Field River South"
"FRS5","FRS",-23.8876333,138.1027,"grid","Field River South"
"FRSU","FRS",-23.8156833,138.0608667,"grid","Field River South"
"KSE1","KSE",-23.35998866,138.26263334,"site mean","Kunnamuka Swamp East"
"KSE2","KSE",-23.3539833,138.2590667,"grid","Kunnamuka Swamp East"
"KSE3","KSE",-23.36237,138.2647,"grid","Kunnamuka Swamp East"
"KSEAF","KSE",-23.35998866,138.26263334,"site mean","Kunnamuka Swamp East"
"KSEAS","KSE",-23.35998866,138.26263334,"site mean","Kunnamuka Swamp East"
"KSW1","KSW",-23.3428333,138.2312833,"grid","Kunnamuka Swamp West"
"KSW2","KSW",-23.33815,138.2297667,"grid","Kunnamuka Swamp West"
"MC0","MC",-23.7497319469388,138.48013947551,"site mean","Main Camp"
"MC1","MC",-23.7528167,138.47405,"grid","Main Camp"
"MC10","MC",-23.6993167,138.4519333,"grid","Main Camp"
"MC11","MC",-23.6941167,138.4479167,"grid","Main Camp"
"MC2","MC",-23.7489333,138.4710333,"grid","Main Camp"
"MC3","MC",-23.74195,138.4697833,"grid","Main Camp"
"MC4","MC",-23.7378667,138.4677,"grid","Main Camp"
"MC4G","MC",-23.73864,138.46664,"grid","Main Camp"
"MC5","MC",-23.73335,138.4649667,"grid","Main Camp"
"MC6","MC",-23.7267833,138.4618333,"grid","Main Camp"
"MC7","MC",-23.7214333,138.4598,"grid","Main Camp"
"MC8","MC",-23.71644,138.45323,"grid","Main Camp"
"MC9","MC",-23.70999,138.45239,"grid","Main Camp"
"MCA","MC",-23.7575667,138.4831,"grid","Main Camp"
"MCB","MC",-23.76765,138.4817667,"grid","Main Camp"
"MCC","MC",-23.762167,138.4767,"grid","Main Camp"
"MCCG","MC",-23.7497319469388,138.48013947551,"site mean","Main Camp"
"MCE","MC",-23.68735,138.4364,"grid","Main Camp"
"MCF","MC",-23.6966667,138.44075,"grid","Main Camp"
"MCFU","MC",-23.7497319469388,138.48013947551,"site mean","Main Camp"
"MCG","MC",-23.6759833,138.43825,"grid","Main Camp"
"MCSK","MC",-23.7592,138.4982,"grid","Main Camp"
"MCU","MC",-23.7497319469388,138.48013947551,"site mean","Main Camp"
"PP0","PP",-23.21,138.44,"grid","Plum Pudding"
"PP1","PP",-23.21,138.45,"grid","Plum Pudding"
"SH4","SH",-23.6603333,138.2982833,"grid","Shitty Site"
"SH5","SH",-23.6689333,138.3029667,"grid","Shitty Site"
"SS3","SS",-23.84005,138.39925,"grid","South Site"
"SS4","SS",-23.8724167,138.4103,"grid","South Site"
"TBE1","TBE",-23.4474833,137.9762167,"grid","Tobermorey East"
"TBE2","TBE",-23.44315,137.981,"grid","Tobermorey East"
"TBW3","TBW",-23.5068333,137.8812667,"grid","Tobermorey West"
"TBW4","TBW",-23.50725,137.8777,"grid","Tobermorey West"
"WS1","WS",-23.7921333,138.3699833,"grid","Way Site"
"WS2","WS",-23.7787667,138.36135,"grid","Way Site"
